,beername,beer type,category,Aroma,Flavor,Balance,Food,Body,rating,evaluating num
0,Goose Island Goose IPA,IPA,IPA - English,"['과일향', '자몽향', '오렌지향', '시트러스향']","['깔끔한 맥아 풍미', '깔끔함', '청량함', '쌉쌀한 끝맛', '강렬함']","['미디엄', '청량함', '쌉쌀한 끝맛', '크리미']","['여러 광범위한 음식', '햄버거', '체다 치즈', '스테이크', '감자튀김', '샌드위치', '어니언링', '나쵸', '퀘사디아']","['청량함', '드라이']",3.525184924,2888
1,Goose Island 312 Urban Wheat Ale,Wheat Ale,Pale - America,"['꽃향', '풀향', '레몬향', '레몬그래스향', '바나나향']","['홉 향 다수', '깔끔한 맥아 풍미', '부드럽고 크리미한', '프루티 에일']","['크리미', '부드러움', '미디엄', '크리스피']","['여러 광범위한 음식', '튀김류', '한국 음식', '샐러드', '폭립', '크리스피 치킨', '피자']","['미디움', '가벼움', '크리미']",2.829070392,1877
2,Edelweiss Weissbier Hefetrub,Weissbier - Hefeweizen,Wheat Beer - Austria,"['과일향', '스파이시한 향', '은은한 맥아향']","['밀크세이크 질감', '가벼운 곡물 풍미', '홉의 풍미 많지 않음', '고도의 탄산', '구운 풍미', '쌉쌀한 풍미']","['드라이', '맥아 풍미', '곡물 풍미', '리치', '크리미']","['샐러드', '해산물', '가벼운 음식', '바이스부르스트', '바나나 케이크', '바베큐 케이준', '저크 피시', '닭고기', '돼지고기', '애플 파이', '매운 음식', '태국 음식', '커리', '오믈렛', '에그 베네딕트', '베이컨', '달걀']","['걸쭉', '드라이']",3.286197183,717
3,Somersby Apple Cider,Apple Cider,Apple cider - Denmark,"['과일향', '청사과향', '사과주스향', '사이다향']","['단맛', '사과맛 탄산음료', '사과주스', '맥아 없음']","['부드러움', '크리스피', '독특함', '스파클링']","['닭고기 요리', '해산물', '피자', '샐러드']","['청량함', '라이트']",2.261442006,320
4,Apple Fox,Apple Cider,Apple cider - Singapore,"['과일향', '청사과향', '사과주스향', '사이다향']","['단맛', '사과맛 탄산음료', '사과주스', '맥아 없음']","['부드러움', '크리스피', '독특함', '스파클링']","['닭고기 요리', '해산물', '피자', '샐러드']","['청량함', '라이트']",2.5,4
5,Desperados,Flavored - Other,Lager - America,"['캐러멜 향', '허브향']","['데킬라맛', '단맛', '달콤함']",['맥아 풍미'],"['돼지고기 구이', '오리 구이', '연어 구이', '소시지', '케이준 생선', '흰색 육류', '스테이크', '고기', '훈제 생선', '햄버거', '토마토 파스타', '피자', '한국 요리', '파타타스 바라바스']","['미디움', '가벼움']",1.793935927,891
6,Egger Grapefruit Radler,Radler / Shandy,Craft - America,"['과일향', '단맛']","['낮은 알코올', '탄산수', '자몽맛']","['스파클링', '독특함']",['빵'],['탄산'],2.329787234,46
7,Egger Radler,Radler / Shandy,Craft - America,"['고소한 맥아향', '캐러멜향', '쿠키향', '홉 아로마 거의 없음']","['캐러멜', '달콤한 쿠기 풍미', '약간 쌉쌀함']","['맥아 풍미', '홉에 의한 밸런스 거의 없음']","['멕시코 요리', '매운 요리', '닭', '소시지', '마일드 치즈']",['미디엄'],1.721212121,33
8,Stella Artois,Pale Lager - International / Premium,Lager - Belgium,"['고소한 맥아향', '강한 향', '매운 향', '플로랄 홉향', '가벼운 향']","['쓴 맛', '상쾌함', '약간의 단맛', '맥아 풍미']",['미디엄'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함', '가벼움', '적당한 탄산']",2.540471513,3620
9,Hoegaarden,Wheat Ale,Wheat Beer - Belgium,"['과일향', '스파이시한 향']","['밀크세이크 질감', '가벼운 곡물 풍미', '홉의 풍미 많지 않음', '고도의 탄산', '구운 풍미']","['드라이', '맥아 풍미', '곡물 풍미', '리치', '크리미']","['샐러드', '해산물', '가벼운 음식', '바이스부르스트']","['걸쭉', '드라이', '가벼움']",3.516466667,4549
10,Hoegaarden Rosee,Flavored - Fruit,Craft - America,"['과일향', '라즈베리향']","['과일 풍미', '시큼한 풍미', '크리미함', '달콤함']","['청량함', '드라이', '약간 달콤', '일정 수준의 신맛']","['샐러드', '가벼운 음식', '가벼운 디저트']","['라이트', '미디엄']",2.515,580
11,Budweiser,Pale Lager - American,Lager - America,"['고소한 맥아향', '강한 향']","['쓴 맛', '상쾌함']",['미디엄'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함', '가벼움', '적당한 탄산']",1.537626031,4364
12,Patagonia Bohemian Pilsner,Pilsener / Plis / Pilsner,Pilsner - Czech,"['레몬향, 꽃향, 풀향, 꿀향']","['홉 향 다수', '시트러스', '약간의 빵 맛']","['쌉쌀한 끝맛', '크리스피', '쉬운 목넘김']","['샐러드', '육포', '해산물', '파인애플', '과일', '호두', '견과류']","['라이트', '미디엄']",2.877777778,73
